Call_Number,Start_Time,End_Time,Elapsed_Time(ms)
1,2024-10-22 04:25:45.064370,2024-10-22 04:25:45.119123,54.753
2,2024-10-22 04:25:45.221749,2024-10-22 04:25:45.274364,52.615
3,2024-10-22 04:25:45.375017,2024-10-22 04:25:45.425185,50.168
4,2024-10-22 04:25:45.525733,2024-10-22 04:25:45.579869,54.135999999999996
5,2024-10-22 04:25:45.680258,2024-10-22 04:25:45.733360,53.102000000000004
6,2024-10-22 04:25:45.834384,2024-10-22 04:25:45.887898,53.513999999999996
7,2024-10-22 04:25:45.988462,2024-10-22 04:25:46.039321,50.859
8,2024-10-22 04:25:46.140199,2024-10-22 04:25:46.193225,53.025999999999996
9,2024-10-22 04:25:46.293740,2024-10-22 04:25:46.346043,52.303000000000004
10,2024-10-22 04:25:46.446795,2024-10-22 04:25:46.497316,50.521
11,2024-10-22 04:25:46.598113,2024-10-22 04:25:46.649918,51.805
12,2024-10-22 04:25:46.751237,2024-10-22 04:25:46.803022,51.785
13,2024-10-22 04:25:46.904125,2024-10-22 04:25:46.956975,52.85
14,2024-10-22 04:25:47.057359,2024-10-22 04:25:47.116957,59.598
15,2024-10-22 04:25:47.217465,2024-10-22 04:25:47.269848,52.382999999999996
16,2024-10-22 04:25:47.370519,2024-10-22 04:25:47.423117,52.598
17,2024-10-22 04:25:47.523811,2024-10-22 04:25:47.579649,55.838
18,2024-10-22 04:25:47.679728,2024-10-22 04:25:47.733715,53.987
19,2024-10-22 04:25:47.834585,2024-10-22 04:25:47.885093,50.507999999999996
20,2024-10-22 04:25:47.986480,2024-10-22 04:25:48.040547,54.067
21,2024-10-22 04:25:48.141814,2024-10-22 04:25:48.197705,55.891000000000005
22,2024-10-22 04:25:48.297975,2024-10-22 04:25:48.350409,52.434000000000005
23,2024-10-22 04:25:48.450795,2024-10-22 04:25:48.501445,50.65
24,2024-10-22 04:25:48.601751,2024-10-22 04:25:48.656995,55.244
25,2024-10-22 04:25:48.757375,2024-10-22 04:25:48.810014,52.638999999999996
26,2024-10-22 04:25:48.910135,2024-10-22 04:25:48.961664,51.528999999999996
27,2024-10-22 04:25:49.062082,2024-10-22 04:25:49.114236,52.153999999999996
28,2024-10-22 04:25:49.214864,2024-10-22 04:25:49.266708,51.844
29,2024-10-22 04:25:49.368055,2024-10-22 04:25:49.419741,51.686
30,2024-10-22 04:25:49.521097,2024-10-22 04:25:49.573815,52.718
31,2024-10-22 04:25:49.673911,2024-10-22 04:25:49.727722,53.811
32,2024-10-22 04:25:49.827949,2024-10-22 04:25:49.880789,52.839999999999996
33,2024-10-22 04:25:49.981309,2024-10-22 04:25:50.035045,53.736
34,2024-10-22 04:25:50.135463,2024-10-22 04:25:50.190270,54.807
35,2024-10-22 04:25:50.291154,2024-10-22 04:25:50.346091,54.937
36,2024-10-22 04:25:50.449571,2024-10-22 04:25:50.501483,51.912
37,2024-10-22 04:25:50.602339,2024-10-22 04:25:50.655172,52.833
38,2024-10-22 04:25:50.756057,2024-10-22 04:25:50.810124,54.067
39,2024-10-22 04:25:50.910911,2024-10-22 04:25:50.966289,55.378
40,2024-10-22 04:25:51.066453,2024-10-22 04:25:51.118450,51.997
41,2024-10-22 04:25:51.219612,2024-10-22 04:25:51.272835,53.223
42,2024-10-22 04:25:51.373629,2024-10-22 04:25:51.428246,54.617
43,2024-10-22 04:25:51.529088,2024-10-22 04:25:51.580092,51.004
44,2024-10-22 04:25:51.680754,2024-10-22 04:25:51.734803,54.049
45,2024-10-22 04:25:51.835923,2024-10-22 04:25:51.888777,52.854
46,2024-10-22 04:25:51.989192,2024-10-22 04:25:52.042602,53.41
47,2024-10-22 04:25:52.143451,2024-10-22 04:25:52.196668,53.217
48,2024-10-22 04:25:52.297344,2024-10-22 04:25:52.351002,53.657999999999994
49,2024-10-22 04:25:52.451626,2024-10-22 04:25:52.505036,53.41
50,2024-10-22 04:25:52.606244,2024-10-22 04:25:52.660893,54.649
51,2024-10-22 04:25:52.761124,2024-10-22 04:25:52.817208,56.084
52,2024-10-22 04:25:52.917974,2024-10-22 04:25:52.971390,53.416
53,2024-10-22 04:25:53.072544,2024-10-22 04:25:53.124755,52.211
54,2024-10-22 04:25:53.225379,2024-10-22 04:25:53.278478,53.099000000000004
55,2024-10-22 04:25:53.379411,2024-10-22 04:25:53.429676,50.265
56,2024-10-22 04:25:53.531027,2024-10-22 04:25:53.582421,51.394000000000005
57,2024-10-22 04:25:53.683413,2024-10-22 04:25:53.736898,53.485
58,2024-10-22 04:25:53.837185,2024-10-22 04:25:53.889586,52.401
59,2024-10-22 04:25:53.990418,2024-10-22 04:25:54.043438,53.019999999999996
60,2024-10-22 04:25:54.144434,2024-10-22 04:25:54.225471,81.03699999999999
61,2024-10-22 04:25:54.326394,2024-10-22 04:25:54.379992,53.598
62,2024-10-22 04:25:54.481053,2024-10-22 04:25:54.532101,51.048
63,2024-10-22 04:25:54.632938,2024-10-22 04:25:54.687222,54.284
64,2024-10-22 04:25:54.788073,2024-10-22 04:25:54.840221,52.148
65,2024-10-22 04:25:54.940981,2024-10-22 04:25:54.994324,53.343
66,2024-10-22 04:25:55.095603,2024-10-22 04:25:55.149139,53.536
67,2024-10-22 04:25:55.249632,2024-10-22 04:25:55.301933,52.301
68,2024-10-22 04:25:55.402814,2024-10-22 04:25:55.455407,52.593
69,2024-10-22 04:25:55.555819,2024-10-22 04:25:55.608575,52.756
70,2024-10-22 04:25:55.709313,2024-10-22 04:25:55.762491,53.178000000000004
71,2024-10-22 04:25:55.862919,2024-10-22 04:25:55.913772,50.853
72,2024-10-22 04:25:56.014619,2024-10-22 04:25:56.067675,53.056
73,2024-10-22 04:25:56.168309,2024-10-22 04:25:56.220506,52.197
74,2024-10-22 04:25:56.321715,2024-10-22 04:25:56.374664,52.949000000000005
75,2024-10-22 04:25:56.475522,2024-10-22 04:25:56.531593,56.071000000000005
76,2024-10-22 04:25:56.632119,2024-10-22 04:25:56.684449,52.33
77,2024-10-22 04:25:56.785339,2024-10-22 04:25:56.837675,52.336
78,2024-10-22 04:25:56.938353,2024-10-22 04:25:56.993685,55.332
79,2024-10-22 04:25:57.094516,2024-10-22 04:25:57.145958,51.442
80,2024-10-22 04:25:57.246384,2024-10-22 04:25:57.297715,51.331
81,2024-10-22 04:25:57.398613,2024-10-22 04:25:57.452612,53.998999999999995
82,2024-10-22 04:25:57.553698,2024-10-22 04:25:57.606094,52.396
83,2024-10-22 04:25:57.706645,2024-10-22 04:25:57.756035,49.39
84,2024-10-22 04:25:57.857195,2024-10-22 04:25:57.911454,54.259
85,2024-10-22 04:25:58.012335,2024-10-22 04:25:58.063340,51.005
86,2024-10-22 04:25:58.164006,2024-10-22 04:25:58.218574,54.568
87,2024-10-22 04:25:58.319711,2024-10-22 04:25:58.373831,54.120000000000005
88,2024-10-22 04:25:58.474856,2024-10-22 04:25:58.527066,52.21
89,2024-10-22 04:25:58.627706,2024-10-22 04:25:58.678145,50.439
90,2024-10-22 04:25:58.778827,2024-10-22 04:25:58.833034,54.207
91,2024-10-22 04:25:58.933923,2024-10-22 04:25:58.988178,54.254999999999995
92,2024-10-22 04:25:59.089374,2024-10-22 04:25:59.139234,49.86
93,2024-10-22 04:25:59.240272,2024-10-22 04:25:59.291796,51.524
94,2024-10-22 04:25:59.392700,2024-10-22 04:25:59.444921,52.221
95,2024-10-22 04:25:59.546185,2024-10-22 04:25:59.599502,53.317
96,2024-10-22 04:25:59.700579,2024-10-22 04:25:59.756994,56.415
97,2024-10-22 04:25:59.858257,2024-10-22 04:25:59.909705,51.448
98,2024-10-22 04:26:00.010433,2024-10-22 04:26:00.062706,52.273
99,2024-10-22 04:26:00.163323,2024-10-22 04:26:00.218706,55.383
100,2024-10-22 04:26:00.319297,2024-10-22 04:26:00.372232,52.935
