Call_Number,Start_Time,End_Time,Elapsed_Time(ms)
1,2024-10-22 04:26:35.457102,2024-10-22 04:26:35.510135,53.032999999999994
2,2024-10-22 04:26:35.610837,2024-10-22 04:26:35.663018,52.181
3,2024-10-22 04:26:35.763649,2024-10-22 04:26:35.815124,51.475
4,2024-10-22 04:26:35.915512,2024-10-22 04:26:35.967252,51.74
5,2024-10-22 04:26:36.067717,2024-10-22 04:26:36.118836,51.119
6,2024-10-22 04:26:36.220176,2024-10-22 04:26:36.269669,49.493
7,2024-10-22 04:26:36.370063,2024-10-22 04:26:36.421114,51.051
8,2024-10-22 04:26:36.522039,2024-10-22 04:26:36.572878,50.839000000000006
9,2024-10-22 04:26:36.673331,2024-10-22 04:26:36.727339,54.008
10,2024-10-22 04:26:36.828007,2024-10-22 04:26:36.882188,54.181
11,2024-10-22 04:26:36.983136,2024-10-22 04:26:37.034236,51.1
12,2024-10-22 04:26:37.134789,2024-10-22 04:26:37.189511,54.722
13,2024-10-22 04:26:37.289928,2024-10-22 04:26:37.343412,53.483999999999995
14,2024-10-22 04:26:37.443930,2024-10-22 04:26:37.495593,51.663000000000004
15,2024-10-22 04:26:37.596074,2024-10-22 04:26:37.647990,51.916
16,2024-10-22 04:26:37.748749,2024-10-22 04:26:37.798485,49.736000000000004
17,2024-10-22 04:26:37.899559,2024-10-22 04:26:37.949710,50.151
18,2024-10-22 04:26:38.050976,2024-10-22 04:26:38.104568,53.592
19,2024-10-22 04:26:38.205405,2024-10-22 04:26:38.257410,52.005
20,2024-10-22 04:26:38.358456,2024-10-22 04:26:38.412374,53.918
21,2024-10-22 04:26:38.513220,2024-10-22 04:26:38.570990,57.77
22,2024-10-22 04:26:38.671851,2024-10-22 04:26:38.725441,53.589999999999996
23,2024-10-22 04:26:38.826068,2024-10-22 04:26:38.877169,51.101
24,2024-10-22 04:26:38.978096,2024-10-22 04:26:39.028352,50.256
25,2024-10-22 04:26:39.129049,2024-10-22 04:26:39.181351,52.302
26,2024-10-22 04:26:39.281952,2024-10-22 04:26:39.333976,52.024
27,2024-10-22 04:26:39.434577,2024-10-22 04:26:39.487541,52.964
28,2024-10-22 04:26:39.588420,2024-10-22 04:26:39.641513,53.093
29,2024-10-22 04:26:39.742603,2024-10-22 04:26:39.795886,53.282999999999994
30,2024-10-22 04:26:39.897145,2024-10-22 04:26:39.949817,52.672
31,2024-10-22 04:26:40.050764,2024-10-22 04:26:40.104794,54.03
32,2024-10-22 04:26:40.204908,2024-10-22 04:26:40.256405,51.497
33,2024-10-22 04:26:40.357367,2024-10-22 04:26:40.414952,57.584999999999994
34,2024-10-22 04:26:40.515541,2024-10-22 04:26:40.566089,50.548
35,2024-10-22 04:26:40.667166,2024-10-22 04:26:40.719516,52.35
36,2024-10-22 04:26:40.820620,2024-10-22 04:26:40.874175,53.555
37,2024-10-22 04:26:40.974755,2024-10-22 04:26:41.029215,54.46
38,2024-10-22 04:26:41.129936,2024-10-22 04:26:41.183645,53.709
39,2024-10-22 04:26:41.284148,2024-10-22 04:26:41.337827,53.678999999999995
40,2024-10-22 04:26:41.438595,2024-10-22 04:26:41.490110,51.515
41,2024-10-22 04:26:41.590644,2024-10-22 04:26:41.644358,53.714
42,2024-10-22 04:26:41.745441,2024-10-22 04:26:41.795918,50.477000000000004
43,2024-10-22 04:26:41.896959,2024-10-22 04:26:41.950020,53.061
44,2024-10-22 04:26:42.050500,2024-10-22 04:26:42.100124,49.624
45,2024-10-22 04:26:42.200629,2024-10-22 04:26:42.252792,52.163000000000004
46,2024-10-22 04:26:42.352973,2024-10-22 04:26:42.407326,54.353
47,2024-10-22 04:26:42.507837,2024-10-22 04:26:42.562524,54.687
48,2024-10-22 04:26:42.663679,2024-10-22 04:26:42.716873,53.193999999999996
49,2024-10-22 04:26:42.817249,2024-10-22 04:26:42.870694,53.445
50,2024-10-22 04:26:42.971040,2024-10-22 04:26:43.026311,55.271
51,2024-10-22 04:26:43.127904,2024-10-22 04:26:43.183287,55.383
52,2024-10-22 04:26:43.284278,2024-10-22 04:26:43.337877,53.599000000000004
53,2024-10-22 04:26:43.438005,2024-10-22 04:26:43.492576,54.571
54,2024-10-22 04:26:43.593397,2024-10-22 04:26:43.643781,50.384
55,2024-10-22 04:26:43.744832,2024-10-22 04:26:43.797925,53.093
56,2024-10-22 04:26:43.898807,2024-10-22 04:26:43.951132,52.325
57,2024-10-22 04:26:44.051451,2024-10-22 04:26:44.104301,52.85
58,2024-10-22 04:26:44.205673,2024-10-22 04:26:44.258138,52.464999999999996
59,2024-10-22 04:26:44.359326,2024-10-22 04:26:44.412420,53.094
60,2024-10-22 04:26:44.513540,2024-10-22 04:26:44.567371,53.830999999999996
61,2024-10-22 04:26:44.668378,2024-10-22 04:26:44.721581,53.203
62,2024-10-22 04:26:44.821754,2024-10-22 04:26:44.880061,58.306999999999995
63,2024-10-22 04:26:44.981316,2024-10-22 04:26:45.033265,51.949000000000005
64,2024-10-22 04:26:45.133543,2024-10-22 04:26:45.186483,52.94
65,2024-10-22 04:26:45.286858,2024-10-22 04:26:45.339403,52.545
66,2024-10-22 04:26:45.440264,2024-10-22 04:26:45.495423,55.159
67,2024-10-22 04:26:45.596127,2024-10-22 04:26:45.651044,54.917
68,2024-10-22 04:26:45.751828,2024-10-22 04:26:45.806103,54.275
69,2024-10-22 04:26:45.907126,2024-10-22 04:26:45.960276,53.150000000000006
70,2024-10-22 04:26:46.061038,2024-10-22 04:26:46.115386,54.348
71,2024-10-22 04:26:46.216475,2024-10-22 04:26:46.269281,52.806
72,2024-10-22 04:26:46.369818,2024-10-22 04:26:46.429468,59.65
73,2024-10-22 04:26:46.530297,2024-10-22 04:26:46.583184,52.887
74,2024-10-22 04:26:46.684385,2024-10-22 04:26:46.734875,50.49
75,2024-10-22 04:26:46.836641,2024-10-22 04:26:46.889216,52.574999999999996
76,2024-10-22 04:26:46.989864,2024-10-22 04:26:47.039315,49.451
77,2024-10-22 04:26:47.140788,2024-10-22 04:26:47.193443,52.655
78,2024-10-22 04:26:47.294259,2024-10-22 04:26:47.346914,52.655
79,2024-10-22 04:26:47.448288,2024-10-22 04:26:47.501721,53.433
80,2024-10-22 04:26:47.602653,2024-10-22 04:26:47.656766,54.113
81,2024-10-22 04:26:47.758091,2024-10-22 04:26:47.812992,54.900999999999996
82,2024-10-22 04:26:47.913922,2024-10-22 04:26:47.966582,52.66
83,2024-10-22 04:26:48.067808,2024-10-22 04:26:48.117618,49.81
84,2024-10-22 04:26:48.218782,2024-10-22 04:26:48.273283,54.501
85,2024-10-22 04:26:48.373867,2024-10-22 04:26:48.426016,52.149
86,2024-10-22 04:26:48.527113,2024-10-22 04:26:48.580520,53.407000000000004
87,2024-10-22 04:26:48.681214,2024-10-22 04:26:48.733331,52.117
88,2024-10-22 04:26:48.834157,2024-10-22 04:26:48.889598,55.440999999999995
89,2024-10-22 04:26:48.990859,2024-10-22 04:26:49.041257,50.397999999999996
90,2024-10-22 04:26:49.142183,2024-10-22 04:26:49.195012,52.829
91,2024-10-22 04:26:49.295965,2024-10-22 04:26:49.349194,53.229
92,2024-10-22 04:26:49.449792,2024-10-22 04:26:49.502028,52.236
93,2024-10-22 04:26:49.603168,2024-10-22 04:26:49.657474,54.306
94,2024-10-22 04:26:49.757980,2024-10-22 04:26:49.811168,53.188
95,2024-10-22 04:26:49.911835,2024-10-22 04:26:49.966026,54.191
96,2024-10-22 04:26:50.067044,2024-10-22 04:26:50.119984,52.94
97,2024-10-22 04:26:50.220624,2024-10-22 04:26:50.272368,51.744
98,2024-10-22 04:26:50.373039,2024-10-22 04:26:50.424782,51.742999999999995
99,2024-10-22 04:26:50.526126,2024-10-22 04:26:50.580409,54.283
100,2024-10-22 04:26:50.680584,2024-10-22 04:26:50.736384,55.800000000000004
