Call_Number,Start_Time,End_Time,Elapsed_Time(ms)
72,2024-10-22 04:27:03.260067,2024-10-22 04:27:03.309009,48.942
73,2024-10-22 04:27:03.410238,2024-10-22 04:27:03.463371,53.133
74,2024-10-22 04:27:03.563937,2024-10-22 04:27:03.623131,59.193999999999996
75,2024-10-22 04:27:03.723987,2024-10-22 04:27:03.774801,50.814
76,2024-10-22 04:27:03.875557,2024-10-22 04:27:03.926259,50.702
77,2024-10-22 04:27:04.027357,2024-10-22 04:27:04.076861,49.504
78,2024-10-22 04:27:04.177319,2024-10-22 04:27:04.228548,51.229
79,2024-10-22 04:27:04.329970,2024-10-22 04:27:04.380329,50.359
80,2024-10-22 04:27:04.481025,2024-10-22 04:27:04.534643,53.618
81,2024-10-22 04:27:04.635164,2024-10-22 04:27:04.684292,49.128
82,2024-10-22 04:27:04.785452,2024-10-22 04:27:04.837276,51.824000000000005
83,2024-10-22 04:27:04.938121,2024-10-22 04:27:04.991029,52.907999999999994
84,2024-10-22 04:27:05.091803,2024-10-22 04:27:05.145591,53.788000000000004
85,2024-10-22 04:27:05.246037,2024-10-22 04:27:05.300199,54.162
86,2024-10-22 04:27:05.401145,2024-10-22 04:27:05.454143,52.998000000000005
87,2024-10-22 04:27:05.555092,2024-10-22 04:27:05.608971,53.879000000000005
88,2024-10-22 04:27:05.709276,2024-10-22 04:27:05.759133,49.857
89,2024-10-22 04:27:05.860382,2024-10-22 04:27:05.912465,52.083
90,2024-10-22 04:27:06.013229,2024-10-22 04:27:06.067655,54.426
91,2024-10-22 04:27:06.168919,2024-10-22 04:27:06.220033,51.114
92,2024-10-22 04:27:06.321009,2024-10-22 04:27:06.375454,54.445
93,2024-10-22 04:27:06.476613,2024-10-22 04:27:06.529106,52.492999999999995
94,2024-10-22 04:27:06.630334,2024-10-22 04:27:06.686452,56.118
95,2024-10-22 04:27:06.787575,2024-10-22 04:27:06.837677,50.102000000000004
96,2024-10-22 04:27:06.938668,2024-10-22 04:27:06.989211,50.543
97,2024-10-22 04:27:07.089440,2024-10-22 04:27:07.144113,54.673
98,2024-10-22 04:27:07.245118,2024-10-22 04:27:07.298780,53.662
99,2024-10-22 04:27:07.399922,2024-10-22 04:27:07.452505,52.583
100,2024-10-22 04:27:07.553207,2024-10-22 04:27:07.604393,51.186
