Call_Number,Start_Time,End_Time,Elapsed_Time(ms)
1,2024-10-22 04:26:18.490755,2024-10-22 04:26:18.540863,50.108
2,2024-10-22 04:26:18.641085,2024-10-22 04:26:18.692406,51.321
3,2024-10-22 04:26:18.792876,2024-10-22 04:26:18.845926,53.05
4,2024-10-22 04:26:18.946853,2024-10-22 04:26:19.001884,55.031
5,2024-10-22 04:26:19.101931,2024-10-22 04:26:19.155410,53.479
6,2024-10-22 04:26:19.256159,2024-10-22 04:26:19.306449,50.29
7,2024-10-22 04:26:19.406882,2024-10-22 04:26:19.458744,51.862
8,2024-10-22 04:26:19.559090,2024-10-22 04:26:19.611918,52.828
9,2024-10-22 04:26:19.712833,2024-10-22 04:26:19.765202,52.369
10,2024-10-22 04:26:19.865507,2024-10-22 04:26:19.915093,49.586
11,2024-10-22 04:26:20.016478,2024-10-22 04:26:20.069449,52.971
12,2024-10-22 04:26:20.170320,2024-10-22 04:26:20.221996,51.676
13,2024-10-22 04:26:20.323286,2024-10-22 04:26:20.374579,51.293
14,2024-10-22 04:26:20.475213,2024-10-22 04:26:20.525255,50.042
15,2024-10-22 04:26:20.625886,2024-10-22 04:26:20.688905,63.019000000000005
16,2024-10-22 04:26:20.789972,2024-10-22 04:26:20.843831,53.858999999999995
17,2024-10-22 04:26:20.944363,2024-10-22 04:26:20.995297,50.934
18,2024-10-22 04:26:21.095960,2024-10-22 04:26:21.152444,56.484
19,2024-10-22 04:26:21.253313,2024-10-22 04:26:21.307714,54.400999999999996
20,2024-10-22 04:26:21.408544,2024-10-22 04:26:21.460557,52.013
21,2024-10-22 04:26:21.561516,2024-10-22 04:26:21.612450,50.934
22,2024-10-22 04:26:21.713679,2024-10-22 04:26:21.763660,49.980999999999995
23,2024-10-22 04:26:21.864646,2024-10-22 04:26:21.921442,56.796
24,2024-10-22 04:26:22.022026,2024-10-22 04:26:22.072791,50.765
25,2024-10-22 04:26:22.174140,2024-10-22 04:26:22.232243,58.103
26,2024-10-22 04:26:22.332737,2024-10-22 04:26:22.384604,51.867000000000004
27,2024-10-22 04:26:22.485444,2024-10-22 04:26:22.537662,52.218
28,2024-10-22 04:26:22.638556,2024-10-22 04:26:22.692884,54.328
29,2024-10-22 04:26:22.794162,2024-10-22 04:26:22.847255,53.093
30,2024-10-22 04:26:22.948010,2024-10-22 04:26:22.997905,49.895
31,2024-10-22 04:26:23.099088,2024-10-22 04:26:23.149860,50.772
32,2024-10-22 04:26:23.251020,2024-10-22 04:26:23.306029,55.009
33,2024-10-22 04:26:23.406979,2024-10-22 04:26:23.458208,51.229
34,2024-10-22 04:26:23.558637,2024-10-22 04:26:23.611695,53.058
35,2024-10-22 04:26:23.712609,2024-10-22 04:26:23.765838,53.229
36,2024-10-22 04:26:23.866342,2024-10-22 04:26:23.919288,52.946
37,2024-10-22 04:26:24.020126,2024-10-22 04:26:24.073807,53.681
38,2024-10-22 04:26:24.174335,2024-10-22 04:26:24.229444,55.109
39,2024-10-22 04:26:24.330611,2024-10-22 04:26:24.383278,52.667
40,2024-10-22 04:26:24.484233,2024-10-22 04:26:24.537239,53.006
41,2024-10-22 04:26:24.637788,2024-10-22 04:26:24.691354,53.566
42,2024-10-22 04:26:24.792056,2024-10-22 04:26:24.842413,50.357
43,2024-10-22 04:26:24.943184,2024-10-22 04:26:24.994061,50.876999999999995
44,2024-10-22 04:26:25.094875,2024-10-22 04:26:25.148511,53.636
45,2024-10-22 04:26:25.249369,2024-10-22 04:26:25.304764,55.395
46,2024-10-22 04:26:25.405491,2024-10-22 04:26:25.461732,56.241
47,2024-10-22 04:26:25.562915,2024-10-22 04:26:25.615982,53.067
48,2024-10-22 04:26:25.716701,2024-10-22 04:26:25.770027,53.326
49,2024-10-22 04:26:25.870285,2024-10-22 04:26:25.920848,50.562999999999995
50,2024-10-22 04:26:26.021625,2024-10-22 04:26:26.075407,53.782000000000004
51,2024-10-22 04:26:26.176203,2024-10-22 04:26:26.229295,53.092
52,2024-10-22 04:26:26.330132,2024-10-22 04:26:26.384748,54.616
53,2024-10-22 04:26:26.485509,2024-10-22 04:26:26.538357,52.848
54,2024-10-22 04:26:26.640218,2024-10-22 04:26:26.692569,52.351
55,2024-10-22 04:26:26.793681,2024-10-22 04:26:26.848604,54.923
56,2024-10-22 04:26:26.949474,2024-10-22 04:26:27.007545,58.071
57,2024-10-22 04:26:27.108026,2024-10-22 04:26:27.158417,50.391
58,2024-10-22 04:26:27.259173,2024-10-22 04:26:27.314861,55.688
59,2024-10-22 04:26:27.415992,2024-10-22 04:26:27.465353,49.361000000000004
60,2024-10-22 04:26:27.566367,2024-10-22 04:26:27.616017,49.65
61,2024-10-22 04:26:27.716503,2024-10-22 04:26:27.771963,55.46
62,2024-10-22 04:26:27.873327,2024-10-22 04:26:27.926466,53.138999999999996
63,2024-10-22 04:26:28.027220,2024-10-22 04:26:28.078224,51.004
64,2024-10-22 04:26:28.179529,2024-10-22 04:26:28.229872,50.342999999999996
65,2024-10-22 04:26:28.331303,2024-10-22 04:26:28.382294,50.991
66,2024-10-22 04:26:28.483602,2024-10-22 04:26:28.537632,54.03
67,2024-10-22 04:26:28.637908,2024-10-22 04:26:28.688930,51.022
68,2024-10-22 04:26:28.789918,2024-10-22 04:26:28.843512,53.594
69,2024-10-22 04:26:28.944372,2024-10-22 04:26:28.997627,53.254999999999995
70,2024-10-22 04:26:29.098287,2024-10-22 04:26:29.151705,53.418
71,2024-10-22 04:26:29.252255,2024-10-22 04:26:29.305805,53.55
72,2024-10-22 04:26:29.406674,2024-10-22 04:26:29.457912,51.238
73,2024-10-22 04:26:29.559415,2024-10-22 04:26:29.610390,50.975
74,2024-10-22 04:26:29.711683,2024-10-22 04:26:29.764861,53.178000000000004
75,2024-10-22 04:26:29.865843,2024-10-22 04:26:29.917979,52.136
76,2024-10-22 04:26:30.018837,2024-10-22 04:26:30.070193,51.356
77,2024-10-22 04:26:30.170834,2024-10-22 04:26:30.222417,51.583
78,2024-10-22 04:26:30.323421,2024-10-22 04:26:30.377573,54.152
79,2024-10-22 04:26:30.478386,2024-10-22 04:26:30.530179,51.793
80,2024-10-22 04:26:30.630766,2024-10-22 04:26:30.680832,50.066
81,2024-10-22 04:26:30.781979,2024-10-22 04:26:30.834984,53.004999999999995
82,2024-10-22 04:26:30.935624,2024-10-22 04:26:31.003116,67.49199999999999
83,2024-10-22 04:26:31.104055,2024-10-22 04:26:31.155100,51.045
84,2024-10-22 04:26:31.256400,2024-10-22 04:26:31.307539,51.138999999999996
85,2024-10-22 04:26:31.408548,2024-10-22 04:26:31.461685,53.13699999999999
86,2024-10-22 04:26:31.561816,2024-10-22 04:26:31.613957,52.141
87,2024-10-22 04:26:31.714339,2024-10-22 04:26:31.765418,51.079
88,2024-10-22 04:26:31.866041,2024-10-22 04:26:31.917077,51.036
89,2024-10-22 04:26:32.017714,2024-10-22 04:26:32.070570,52.856
90,2024-10-22 04:26:32.171137,2024-10-22 04:26:32.224603,53.466
91,2024-10-22 04:26:32.325097,2024-10-22 04:26:32.376320,51.223
92,2024-10-22 04:26:32.477892,2024-10-22 04:26:32.532681,54.788999999999994
93,2024-10-22 04:26:32.633499,2024-10-22 04:26:32.687246,53.747
94,2024-10-22 04:26:32.788642,2024-10-22 04:26:32.842084,53.442
95,2024-10-22 04:26:32.943341,2024-10-22 04:26:32.994786,51.445
96,2024-10-22 04:26:33.095911,2024-10-22 04:26:33.145858,49.946999999999996
97,2024-10-22 04:26:33.246997,2024-10-22 04:26:33.297097,50.1
98,2024-10-22 04:26:33.397971,2024-10-22 04:26:33.448982,51.011
99,2024-10-22 04:26:33.549646,2024-10-22 04:26:33.602717,53.071
100,2024-10-22 04:26:33.703650,2024-10-22 04:26:33.757268,53.618
